url,heading,content
https://www.cdc.gov/sleep/about/index.html,Key points,"Good sleep is essential for our health and emotional well-being.
Getting enough sleep and good sleep quality are essential for healthy sleep.
The amount of sleep you need changes as you age.
Talk to your healthcare provider if you have problems sleeping."
https://www.cdc.gov/sleep/about/index.html,Getting enough sleep,"The daily recommended hours of sleep you need changes as you age.
Age Group
Age
Sleep Recommended Daily
Newborn
0–3 months
14–17 hours1
Infant
4–12 months
12–16 hours (including naps)2
Toddler
1–2 years
11–14 hours (including naps)2
Preschool
3–5 years
10–13 hours (including naps)2
School age
6–12 years
9–12 hours2
Teen
13–17 years
8–10 hours2
Adult
18–60 years
7 or more hours3
Adult
61–64 years
7–9 hours1
Adult
65 years and older
7–8 hours1"
https://www.cdc.gov/sleep/about/index.html,Health benefits of sleep,"Getting enough sleep can help you:
Get sick less often.
Stay at a healthy weight.
Reduce stress and improve your mood.
Improve your heart health and metabolism.
Lower your risk of chronic conditions like:Type 2 diabetes.Heart disease.High blood pressure.Stroke.
Type 2 diabetes.
Heart disease.
High blood pressure.
Stroke.
Lessen the risk of motor vehicle crashes and related injury or death.
Improve your attention and memory to better perform daily activities."
https://www.cdc.gov/sleep/about/index.html,What to do,"Better sleep habits can help you get a good night's sleep. Habits that can improve your sleep include:
Going to bed and getting up at the same time every day.
Keeping your bedroom quiet, relaxing, and at a cool temperature.
Turning off electronic devices at least 30 minutes before bedtime.
Avoiding large meals and alcohol before bedtime.
Avoiding caffeine in the afternoon or evening.
Exercising regularly and maintaining a healthy diet."
https://www.cdc.gov/sleep/about/index.html,Sleep quality,"Quality sleep means you are getting uninterrupted and refreshing sleep. Getting quality sleep is not just about how many hours you sleep, but how well you sleep.
Signs of poor sleep quality include:
Trouble falling asleep.
Repeatedly waking up during the night.
Feeling sleepy or tired even after getting enough sleep."
https://www.cdc.gov/sleep/about/index.html,Sleep disorders,"Some people may have health conditions that prevent them from getting enough quality sleep, no matter how hard they try. These conditions are called sleep disorders."
https://www.cdc.gov/sleep/about/index.html,Common sleep disorders,"Common sleep disorders include:
Insomnia.
Restless legs syndrome.
Narcolepsy.
Sleep apnea."
https://www.cdc.gov/sleep/about/index.html,Management,"Talk to your healthcare provider if you regularly have problems sleeping or notice signs or symptoms of common sleep disorders.
Your provider can run tests, including sleep studies, to tell if you have a sleep disorder."
https://www.cdc.gov/sleep/about/index.html,Keeping a sleep diary,"Your provider may have you keep a diary of your sleep habits to better understand what's going on.
Your sleep diary should include when you:
Go to bed.
Wake up during the night.
Wake up in the morning.
Take naps.
Exercise.
Drink alcohol or caffeinated drinks.
Take medications."
https://www.cdc.gov/sleep/about/index.html,What CDC is doing,"CDC monitors national and state trends on not getting enough sleep among:Children.High school students.Adults.
Children.
High school students.
Adults.
CDC'sPLACEShas local estimates on adults not getting enough sleep."
https://www.cdc.gov/sleep/about/index.html,On This Page,"Getting enough sleep
Health benefits of sleep
What to do
Sleep quality
Sleep disorders
Management
What CDC is doing
Hirshkowitz M, Whiton K, Albert SM, et al. The National Sleep Foundation's sleep time duration recommendations: methodology and results summary.Sleep Health. 2015;1(1):40–43.
Paruthi S, Brooks LJ, D'Ambrosio C, et al. Recommended amount of sleep for pediatric populations: a consensus statement of the American Academy of Sleep Medicine.J Clin Sleep Med.2016;12(6):785–786.
Watson NF, Badr MS, Belenky G, et al. Recommended amount of sleep for a healthy adult: a joint consensus statement of the American Academy of Sleep Medicine and Sleep Research Society.Sleep. 2015;38(6):843–844."
https://www.cdc.gov/sleep/data-research/facts-stats/index.html,At a glance,"The amount of sleep you need changes as you age.
Several national surveys are used to study insufficient sleep (or short sleep duration) in U.S. children, high school students, and adults.
These surveys show that not getting enough sleep has varied by age, location, racial/ethnic group, and over time in the United States."
https://www.cdc.gov/sleep/data-research/facts-stats/index.html,Populations,"FastStats: Sleep in Children
FastStats: Sleep in High School Students
FastStats: Sleep in Adults"
https://www.cdc.gov/sleep/data-research/facts-stats/high-school-students-sleep-facts-and-stats.html,Key points,"The Youth Risk Behavior Survey (YRBS) looks at how much sleep U.S. high school students get.
The percentage of high school students who do not get enough sleep in the United States varies over time and by sex, state, age, and racial and ethnic group."
https://www.cdc.gov/sleep/data-research/facts-stats/high-school-students-sleep-facts-and-stats.html,The basics,"The Youth Risk Behavior Survey (YRBS) measures health-related behaviors, including sleep, among high school students.
High school students who take part in the YRBS are asked: ""On an average school night, how many hours of sleep do you get?""
Therecommended amount of sleepfor high school students is 8 hours each day.
High school students who do not get 8 hours of sleep each day are considered to have insufficient sleep (also called short sleep duration)."
https://www.cdc.gov/sleep/data-research/facts-stats/high-school-students-sleep-facts-and-stats.html,"Trends in insufficient sleep, 2009–2021",The percentage of high school students who do not get enough sleep increased from 2009 to 2021. More female students than male students reported not getting enough sleep during this period.
https://www.cdc.gov/sleep/data-research/facts-stats/high-school-students-sleep-facts-and-stats.html,"Insufficient sleep by state, 2021","The percentage of high school students who do not get enough sleep varies by state. In 2021, it ranged from 71% in South Dakota   to 84% in Pennsylvania."
https://www.cdc.gov/sleep/data-research/facts-stats/high-school-students-sleep-facts-and-stats.html,"Insufficient sleep among high school students, 2021","The percentage of high school students who do not get enough sleep  was highest in certain groups, including:
Female students (80%)
12th grade students (84%)
Black students (84%)"
https://www.cdc.gov/sleep/data-research/facts-stats/high-school-students-sleep-facts-and-stats.html,Data sources,"CDC National Youth Risk Behavior Survey (YRBS), 2009–2021."
https://www.cdc.gov/sleep/data-research/facts-stats/high-school-students-sleep-facts-and-stats.html,Resources,"Youth Online: High School Youth Risk Behavior Surveillance System (YRBSS)
Healthy People 2030
National Survey of Children's Health"
https://www.cdc.gov/sleep/data-research/facts-stats/children-sleep-facts-and-stats.html,Key points,"The National Survey of Children's Health (NSCH) looks at how much sleep U.S. children get.
This page summarizes the most recent data on insufficient sleep among infants and children, ages 4 months to 14 years.
The percentage of children who do not get enough sleep varies by age, state, and racial and ethnic group."
https://www.cdc.gov/sleep/data-research/facts-stats/children-sleep-facts-and-stats.html,The basics,"This page covers the latest stats on insufficient sleep among children ages 4 months to 14 years.
For daily recommended hours of sleep for children, seeAbout Sleep. For stats on older children, seeFastStats: Sleep in High School Students.
This information is based on the National Survey of Children's Health (NSCH), which asks parents about their children's health."
https://www.cdc.gov/sleep/data-research/facts-stats/children-sleep-facts-and-stats.html,Survey questions on sleep,"Parents taking part in the survey are asked about how much their child sleeps.
Questions include:
For infants and children 5 and younger:During the past week, how many hours of sleep did this child get on an average day (including nighttime sleep and naps)?
During the past week, how many hours of sleep did this child get on an average day (including nighttime sleep and naps)?
For children and adolescents 6 to 17:During the past week, how many hours of sleep did this child get on an average weeknight?
During the past week, how many hours of sleep did this child get on an average weeknight?
Children are considered to get insufficient sleep if parents report they get less sleep than therecommended hours for their age."
https://www.cdc.gov/sleep/data-research/facts-stats/children-sleep-facts-and-stats.html,"Insufficient sleep by state, 2020–2021","The percentage of children (aged 4 months to 14 years) not getting enough sleep varies by state. In 2020–2021, insufficient sleep among children ranged from 25% in Minnesota to 50% in Louisiana."
https://www.cdc.gov/sleep/data-research/facts-stats/children-sleep-facts-and-stats.html,"Insufficient sleep among children (aged 4 months to 14 years), 2020–2021","The percentage of children (aged 4 months to 14 years) not getting enough sleep was highest in certain groups, including:
Children 4 months to 5 years (37%).
Native Hawaiian or Pacific Islander children (61%)."
https://www.cdc.gov/sleep/data-research/facts-stats/children-sleep-facts-and-stats.html,Data sources,"National Survey of Children's Health (NSCH), 2020–2021"
https://www.cdc.gov/sleep/data-research/facts-stats/children-sleep-facts-and-stats.html,Resources,"National Survey of Children's Health
Healthy People 2030
Short Sleep Duration Among Infants, Children, and Adolescents Aged 4 Months–17 Years — United States, 2016–2018"
https://www.cdc.gov/sleep/data-research/facts-stats/children-sleep-facts-and-stats.html,On This Page,"The basics
Quick stats
Data sources
Resources
Hirshkowitz M, Whiton K, Albert SM, et al. The National Sleep Foundation's sleep time duration recommendations: methodology and results summary.Sleep Health. 2015;1(1):40–43.
Paruthi S, Brooks LJ, D'Ambrosio C, et al. Recommended amount of sleep for pediatric populations: a consensus statement of the American Academy of Sleep Medicine.J Clin Sleep Med.2016;12(6):785–786."
https://www.cdc.gov/sleep/data-research/facts-stats/adults-sleep-facts-and-stats.html,Key points,"CDC's Behavioral Risk Factor Surveillance System (BRFSS) looks at how much sleep U.S. adults 18 and older get.
The percentage of adults who do not get enough sleep varies by where they live and their sex, age, and race/ethnicity."
https://www.cdc.gov/sleep/data-research/facts-stats/adults-sleep-facts-and-stats.html,The basics,"BRFSSis a survey of adults that looks at health and risk behaviors, including sleep.
Adults taking part in the BRFSS survey are asked:On average, how many hours of sleep do you get in a 24-hour period?
On average, how many hours of sleep do you get in a 24-hour period?
Therecommendedamount of sleep for adults is at least 7 hours each day.
Adults reporting less than 7 hours are:Getting insufficient sleep.Have short sleep duration.
Getting insufficient sleep.
Have short sleep duration."
https://www.cdc.gov/sleep/data-research/facts-stats/adults-sleep-facts-and-stats.html,"Trends in insufficient sleep, 2013–2022",The percentage of adults not getting enough sleep stayed the same from 2013 to 2022.
https://www.cdc.gov/sleep/data-research/facts-stats/adults-sleep-facts-and-stats.html,"Insufficient sleep by state, 2022","The percentage of adults not getting enough sleep varies by state. In 2022, it ranged from 30% of adults in Vermont to 46% adults in Hawaii."
https://www.cdc.gov/sleep/data-research/facts-stats/adults-sleep-facts-and-stats.html,"Insufficient sleep by county, 2020","The percentage of adults not getting enough sleep differs by county. In 2020, it ranged from 24% of adults in Boulder County, Colorado, to 48% of adults in Greene County, Alabama."
https://www.cdc.gov/sleep/data-research/facts-stats/adults-sleep-facts-and-stats.html,"Insufficient sleep among adults, 2022","The percentage of adults not getting enough sleep was highest in certain groups, including:
Men (37%).
Adults 45 to 64 (39%).
Native Hawaiian or Pacific Islander adults (49%)."
https://www.cdc.gov/sleep/data-research/facts-stats/adults-sleep-facts-and-stats.html,"National, state and population data","National, state and population trend data come from BRFSS from 2013–2022.
Age-adjusted estimates are based on the U.S. 2000 standard population.
Sleep was not part of the core BRFSS survey in 2015, 2017, 2019, and 2021."
https://www.cdc.gov/sleep/data-research/facts-stats/adults-sleep-facts-and-stats.html,County-level data,"County-level estimates come fromCDC's PLACES, which uses model-based data from:
BRFSS 2020.
American Community Survey 2016–2020.
U.S. Census 2020 county population estimates."
https://www.cdc.gov/sleep/data-research/facts-stats/adults-sleep-facts-and-stats.html,Resources,"Chronic Disease Indicators (CDI)
Healthy People 2030
PLACES (Health risk behaviors)
Prevalence and geographic patterns of self-reported short sleep duration among US adults, 2020"
https://www.cdc.gov/sleep/resources/index.html,At a glance,Several organizations offer information and resources about sleep and sleep health. Some of these organizations and their resources are described below.
https://www.cdc.gov/sleep/resources/index.html,American Academy of Sleep Medicine,"TheAmerican Academy of Sleep Medicine (AASM)is a professional society for medical professionals and researchers who work to improve sleep health.
Resources include publicly available sleep education tools for patients, sleep medicine toolkits, clinical practice guidelines, and consensus statements for medical professionals. For members only, resources include trainings and webinars, continuing education certifications, and professional development opportunities."
https://www.cdc.gov/sleep/resources/index.html,National Center on Sleep Disorders Research,"TheNational Center on Sleep Disorders Research (NCSDR)is a federal center in the National Heart, Lung, and Blood Institute, National Institutes of Health that supports research and education related to sleep disorders and the promotion of sleep health.
Patient resources include guides to healthy sleep, information about sleep deficiency, and videos on sleep disorders. For health care provides, resources include sleep publications and funding opportunities for sleep and sleep disorder research."
https://www.cdc.gov/sleep/resources/index.html,National Sleep Foundation,"TheNational Sleep Foundation (NSF)is a nonprofit organization dedicated to improving health and well-being through sleep education and advocacy.
Resources include easy-to-follow tips for healthier sleep, blog articles related to sleep health, and educational campaigns for the general public. For health care providers, resources include guidelines and recommendations for sleep health, research publications on various aspects of sleep health, and research tools."
https://www.cdc.gov/sleep/resources/index.html,National Highway Traffic Safety Administration,"TheNational Highway Traffic Safety Administration (NHTSA)is a federal agency in the U.S. Department of Transportation dedicated to preventing injuries from road traffic crashes through education, research, safety standards, and enforcement.
Resources include information about drowsy driving, helpful tips to avoid falling asleep while driving, and data on car crashes and deaths from drowsy driving."
https://www.cdc.gov/sleep/resources/index.html,Sleep Education,"Sleep Educationis a webpage from the American Academy of Sleep Medicine (AASM).
Resources include easy-to-understand information about sleep, sleep disorders, and treatment options for parents, educators, patients, and students."
https://www.cdc.gov/sleep/resources/index.html,Sleep Research Society,"TheSleep Research Society (SRS)is a scientific organization of sleep researchers who study and teach others about the science of sleep.
Resources include publicly available podcasts on the latest sleep research and publications on various sleep and health topics. For members only, resources include educational webinars and courses, annual training seminars, and professional development opportunities."
https://www.cdc.gov/sleep/site.html,For Everyone,"Sleep
About Sleep
Sleep FactsSleep in ChildrenSleep in High School StudentsSleep in Adults
Sleep in Children
Sleep in High School Students
Sleep in Adults
Sleep Resources"
https://www.cdc.gov/sleep/site.html,Health Care Providers,About
https://www.cdc.gov/sleep/site.html#hcp,For Everyone,"Sleep
About Sleep
Sleep FactsSleep in ChildrenSleep in High School StudentsSleep in Adults
Sleep in Children
Sleep in High School Students
Sleep in Adults
Sleep Resources"
https://www.cdc.gov/sleep/site.html#hcp,Health Care Providers,About
https://www.cdc.gov/sleep/hcp/training/index.html,Page Summary,Training Summary test
https://www.cdc.gov/sleep/hcp/training/index.html,At a glance,Training Summary test
https://www.cdc.gov/sleep/hcp/training/index.html,Training overview,"First session (1 hr in length)
Second session (2 hr 30 min in length
Third session
Fourth session
Final session
Test your knowledge"
