url,heading,content
https://www.cdc.gov/sleep/about/index.html#cdcreference_1,Key points,"Good sleep is essential for our health and emotional well-being.
Getting enough sleep and good sleep quality are essential for healthy sleep.
The amount of sleep you need changes as you age.
Talk to your healthcare provider if you have problems sleeping."
https://www.cdc.gov/sleep/about/index.html#cdcreference_1,Getting enough sleep,"The daily recommended hours of sleep you need changes as you age.
Age Group
Age
Sleep Recommended Daily
Newborn
0–3 months
14–17 hours1
Infant
4–12 months
12–16 hours (including naps)2
Toddler
1–2 years
11–14 hours (including naps)2
Preschool
3–5 years
10–13 hours (including naps)2
School age
6–12 years
9–12 hours2
Teen
13–17 years
8–10 hours2
Adult
18–60 years
7 or more hours3
Adult
61–64 years
7–9 hours1
Adult
65 years and older
7–8 hours1"
https://www.cdc.gov/sleep/about/index.html#cdcreference_1,Health benefits of sleep,"Getting enough sleep can help you:
Get sick less often.
Stay at a healthy weight.
Reduce stress and improve your mood.
Improve your heart health and metabolism.
Lower your risk of chronic conditions like:Type 2 diabetes.Heart disease.High blood pressure.Stroke.
Type 2 diabetes.
Heart disease.
High blood pressure.
Stroke.
Lessen the risk of motor vehicle crashes and related injury or death.
Improve your attention and memory to better perform daily activities."
https://www.cdc.gov/sleep/about/index.html#cdcreference_1,What to do,"Better sleep habits can help you get a good night's sleep. Habits that can improve your sleep include:
Going to bed and getting up at the same time every day.
Keeping your bedroom quiet, relaxing, and at a cool temperature.
Turning off electronic devices at least 30 minutes before bedtime.
Avoiding large meals and alcohol before bedtime.
Avoiding caffeine in the afternoon or evening.
Exercising regularly and maintaining a healthy diet."
https://www.cdc.gov/sleep/about/index.html#cdcreference_1,Sleep quality,"Quality sleep means you are getting uninterrupted and refreshing sleep. Getting quality sleep is not just about how many hours you sleep, but how well you sleep.
Signs of poor sleep quality include:
Trouble falling asleep.
Repeatedly waking up during the night.
Feeling sleepy or tired even after getting enough sleep."
https://www.cdc.gov/sleep/about/index.html#cdcreference_1,Sleep disorders,"Some people may have health conditions that prevent them from getting enough quality sleep, no matter how hard they try. These conditions are called sleep disorders."
https://www.cdc.gov/sleep/about/index.html#cdcreference_1,Common sleep disorders,"Common sleep disorders include:
Insomnia.
Restless legs syndrome.
Narcolepsy.
Sleep apnea."
https://www.cdc.gov/sleep/about/index.html#cdcreference_1,Management,"Talk to your healthcare provider if you regularly have problems sleeping or notice signs or symptoms of common sleep disorders.
Your provider can run tests, including sleep studies, to tell if you have a sleep disorder."
https://www.cdc.gov/sleep/about/index.html#cdcreference_1,Keeping a sleep diary,"Your provider may have you keep a diary of your sleep habits to better understand what's going on.
Your sleep diary should include when you:
Go to bed.
Wake up during the night.
Wake up in the morning.
Take naps.
Exercise.
Drink alcohol or caffeinated drinks.
Take medications."
https://www.cdc.gov/sleep/about/index.html#cdcreference_1,What CDC is doing,"CDC monitors national and state trends on not getting enough sleep among:Children.High school students.Adults.
Children.
High school students.
Adults.
CDC'sPLACEShas local estimates on adults not getting enough sleep."
https://www.cdc.gov/sleep/about/index.html#cdcreference_1,On This Page,"Getting enough sleep
Health benefits of sleep
What to do
Sleep quality
Sleep disorders
Management
What CDC is doing
Hirshkowitz M, Whiton K, Albert SM, et al. The National Sleep Foundation's sleep time duration recommendations: methodology and results summary.Sleep Health. 2015;1(1):40–43.
Paruthi S, Brooks LJ, D'Ambrosio C, et al. Recommended amount of sleep for pediatric populations: a consensus statement of the American Academy of Sleep Medicine.J Clin Sleep Med.2016;12(6):785–786.
Watson NF, Badr MS, Belenky G, et al. Recommended amount of sleep for a healthy adult: a joint consensus statement of the American Academy of Sleep Medicine and Sleep Research Society.Sleep. 2015;38(6):843–844."
https://www.cdc.gov/sleep/about/index.html#cdcreference_2,Key points,"Good sleep is essential for our health and emotional well-being.
Getting enough sleep and good sleep quality are essential for healthy sleep.
The amount of sleep you need changes as you age.
Talk to your healthcare provider if you have problems sleeping."
https://www.cdc.gov/sleep/about/index.html#cdcreference_2,Getting enough sleep,"The daily recommended hours of sleep you need changes as you age.
Age Group
Age
Sleep Recommended Daily
Newborn
0–3 months
14–17 hours1
Infant
4–12 months
12–16 hours (including naps)2
Toddler
1–2 years
11–14 hours (including naps)2
Preschool
3–5 years
10–13 hours (including naps)2
School age
6–12 years
9–12 hours2
Teen
13–17 years
8–10 hours2
Adult
18–60 years
7 or more hours3
Adult
61–64 years
7–9 hours1
Adult
65 years and older
7–8 hours1"
https://www.cdc.gov/sleep/about/index.html#cdcreference_2,Health benefits of sleep,"Getting enough sleep can help you:
Get sick less often.
Stay at a healthy weight.
Reduce stress and improve your mood.
Improve your heart health and metabolism.
Lower your risk of chronic conditions like:Type 2 diabetes.Heart disease.High blood pressure.Stroke.
Type 2 diabetes.
Heart disease.
High blood pressure.
Stroke.
Lessen the risk of motor vehicle crashes and related injury or death.
Improve your attention and memory to better perform daily activities."
https://www.cdc.gov/sleep/about/index.html#cdcreference_2,What to do,"Better sleep habits can help you get a good night's sleep. Habits that can improve your sleep include:
Going to bed and getting up at the same time every day.
Keeping your bedroom quiet, relaxing, and at a cool temperature.
Turning off electronic devices at least 30 minutes before bedtime.
Avoiding large meals and alcohol before bedtime.
Avoiding caffeine in the afternoon or evening.
Exercising regularly and maintaining a healthy diet."
https://www.cdc.gov/sleep/about/index.html#cdcreference_2,Sleep quality,"Quality sleep means you are getting uninterrupted and refreshing sleep. Getting quality sleep is not just about how many hours you sleep, but how well you sleep.
Signs of poor sleep quality include:
Trouble falling asleep.
Repeatedly waking up during the night.
Feeling sleepy or tired even after getting enough sleep."
https://www.cdc.gov/sleep/about/index.html#cdcreference_2,Sleep disorders,"Some people may have health conditions that prevent them from getting enough quality sleep, no matter how hard they try. These conditions are called sleep disorders."
https://www.cdc.gov/sleep/about/index.html#cdcreference_2,Common sleep disorders,"Common sleep disorders include:
Insomnia.
Restless legs syndrome.
Narcolepsy.
Sleep apnea."
https://www.cdc.gov/sleep/about/index.html#cdcreference_2,Management,"Talk to your healthcare provider if you regularly have problems sleeping or notice signs or symptoms of common sleep disorders.
Your provider can run tests, including sleep studies, to tell if you have a sleep disorder."
https://www.cdc.gov/sleep/about/index.html#cdcreference_2,Keeping a sleep diary,"Your provider may have you keep a diary of your sleep habits to better understand what's going on.
Your sleep diary should include when you:
Go to bed.
Wake up during the night.
Wake up in the morning.
Take naps.
Exercise.
Drink alcohol or caffeinated drinks.
Take medications."
https://www.cdc.gov/sleep/about/index.html#cdcreference_2,What CDC is doing,"CDC monitors national and state trends on not getting enough sleep among:Children.High school students.Adults.
Children.
High school students.
Adults.
CDC'sPLACEShas local estimates on adults not getting enough sleep."
https://www.cdc.gov/sleep/about/index.html#cdcreference_2,On This Page,"Getting enough sleep
Health benefits of sleep
What to do
Sleep quality
Sleep disorders
Management
What CDC is doing
Hirshkowitz M, Whiton K, Albert SM, et al. The National Sleep Foundation's sleep time duration recommendations: methodology and results summary.Sleep Health. 2015;1(1):40–43.
Paruthi S, Brooks LJ, D'Ambrosio C, et al. Recommended amount of sleep for pediatric populations: a consensus statement of the American Academy of Sleep Medicine.J Clin Sleep Med.2016;12(6):785–786.
Watson NF, Badr MS, Belenky G, et al. Recommended amount of sleep for a healthy adult: a joint consensus statement of the American Academy of Sleep Medicine and Sleep Research Society.Sleep. 2015;38(6):843–844."
https://www.cdc.gov/sleep/about/index.html#cdcreference_3,Key points,"Good sleep is essential for our health and emotional well-being.
Getting enough sleep and good sleep quality are essential for healthy sleep.
The amount of sleep you need changes as you age.
Talk to your healthcare provider if you have problems sleeping."
https://www.cdc.gov/sleep/about/index.html#cdcreference_3,Getting enough sleep,"The daily recommended hours of sleep you need changes as you age.
Age Group
Age
Sleep Recommended Daily
Newborn
0–3 months
14–17 hours1
Infant
4–12 months
12–16 hours (including naps)2
Toddler
1–2 years
11–14 hours (including naps)2
Preschool
3–5 years
10–13 hours (including naps)2
School age
6–12 years
9–12 hours2
Teen
13–17 years
8–10 hours2
Adult
18–60 years
7 or more hours3
Adult
61–64 years
7–9 hours1
Adult
65 years and older
7–8 hours1"
https://www.cdc.gov/sleep/about/index.html#cdcreference_3,Health benefits of sleep,"Getting enough sleep can help you:
Get sick less often.
Stay at a healthy weight.
Reduce stress and improve your mood.
Improve your heart health and metabolism.
Lower your risk of chronic conditions like:Type 2 diabetes.Heart disease.High blood pressure.Stroke.
Type 2 diabetes.
Heart disease.
High blood pressure.
Stroke.
Lessen the risk of motor vehicle crashes and related injury or death.
Improve your attention and memory to better perform daily activities."
https://www.cdc.gov/sleep/about/index.html#cdcreference_3,What to do,"Better sleep habits can help you get a good night's sleep. Habits that can improve your sleep include:
Going to bed and getting up at the same time every day.
Keeping your bedroom quiet, relaxing, and at a cool temperature.
Turning off electronic devices at least 30 minutes before bedtime.
Avoiding large meals and alcohol before bedtime.
Avoiding caffeine in the afternoon or evening.
Exercising regularly and maintaining a healthy diet."
https://www.cdc.gov/sleep/about/index.html#cdcreference_3,Sleep quality,"Quality sleep means you are getting uninterrupted and refreshing sleep. Getting quality sleep is not just about how many hours you sleep, but how well you sleep.
Signs of poor sleep quality include:
Trouble falling asleep.
Repeatedly waking up during the night.
Feeling sleepy or tired even after getting enough sleep."
https://www.cdc.gov/sleep/about/index.html#cdcreference_3,Sleep disorders,"Some people may have health conditions that prevent them from getting enough quality sleep, no matter how hard they try. These conditions are called sleep disorders."
https://www.cdc.gov/sleep/about/index.html#cdcreference_3,Common sleep disorders,"Common sleep disorders include:
Insomnia.
Restless legs syndrome.
Narcolepsy.
Sleep apnea."
https://www.cdc.gov/sleep/about/index.html#cdcreference_3,Management,"Talk to your healthcare provider if you regularly have problems sleeping or notice signs or symptoms of common sleep disorders.
Your provider can run tests, including sleep studies, to tell if you have a sleep disorder."
https://www.cdc.gov/sleep/about/index.html#cdcreference_3,Keeping a sleep diary,"Your provider may have you keep a diary of your sleep habits to better understand what's going on.
Your sleep diary should include when you:
Go to bed.
Wake up during the night.
Wake up in the morning.
Take naps.
Exercise.
Drink alcohol or caffeinated drinks.
Take medications."
https://www.cdc.gov/sleep/about/index.html#cdcreference_3,What CDC is doing,"CDC monitors national and state trends on not getting enough sleep among:Children.High school students.Adults.
Children.
High school students.
Adults.
CDC'sPLACEShas local estimates on adults not getting enough sleep."
https://www.cdc.gov/sleep/about/index.html#cdcreference_3,On This Page,"Getting enough sleep
Health benefits of sleep
What to do
Sleep quality
Sleep disorders
Management
What CDC is doing
Hirshkowitz M, Whiton K, Albert SM, et al. The National Sleep Foundation's sleep time duration recommendations: methodology and results summary.Sleep Health. 2015;1(1):40–43.
Paruthi S, Brooks LJ, D'Ambrosio C, et al. Recommended amount of sleep for pediatric populations: a consensus statement of the American Academy of Sleep Medicine.J Clin Sleep Med.2016;12(6):785–786.
Watson NF, Badr MS, Belenky G, et al. Recommended amount of sleep for a healthy adult: a joint consensus statement of the American Academy of Sleep Medicine and Sleep Research Society.Sleep. 2015;38(6):843–844."
https://www.cdc.gov/sleep/about/index.html#cdc_behavioral_basics_quick-getting-enough-sleep,Key points,"Good sleep is essential for our health and emotional well-being.
Getting enough sleep and good sleep quality are essential for healthy sleep.
The amount of sleep you need changes as you age.
Talk to your healthcare provider if you have problems sleeping."
https://www.cdc.gov/sleep/about/index.html#cdc_behavioral_basics_quick-getting-enough-sleep,Getting enough sleep,"The daily recommended hours of sleep you need changes as you age.
Age Group
Age
Sleep Recommended Daily
Newborn
0–3 months
14–17 hours1
Infant
4–12 months
12–16 hours (including naps)2
Toddler
1–2 years
11–14 hours (including naps)2
Preschool
3–5 years
10–13 hours (including naps)2
School age
6–12 years
9–12 hours2
Teen
13–17 years
8–10 hours2
Adult
18–60 years
7 or more hours3
Adult
61–64 years
7–9 hours1
Adult
65 years and older
7–8 hours1"
https://www.cdc.gov/sleep/about/index.html#cdc_behavioral_basics_quick-getting-enough-sleep,Health benefits of sleep,"Getting enough sleep can help you:
Get sick less often.
Stay at a healthy weight.
Reduce stress and improve your mood.
Improve your heart health and metabolism.
Lower your risk of chronic conditions like:Type 2 diabetes.Heart disease.High blood pressure.Stroke.
Type 2 diabetes.
Heart disease.
High blood pressure.
Stroke.
Lessen the risk of motor vehicle crashes and related injury or death.
Improve your attention and memory to better perform daily activities."
https://www.cdc.gov/sleep/about/index.html#cdc_behavioral_basics_quick-getting-enough-sleep,What to do,"Better sleep habits can help you get a good night's sleep. Habits that can improve your sleep include:
Going to bed and getting up at the same time every day.
Keeping your bedroom quiet, relaxing, and at a cool temperature.
Turning off electronic devices at least 30 minutes before bedtime.
Avoiding large meals and alcohol before bedtime.
Avoiding caffeine in the afternoon or evening.
Exercising regularly and maintaining a healthy diet."
https://www.cdc.gov/sleep/about/index.html#cdc_behavioral_basics_quick-getting-enough-sleep,Sleep quality,"Quality sleep means you are getting uninterrupted and refreshing sleep. Getting quality sleep is not just about how many hours you sleep, but how well you sleep.
Signs of poor sleep quality include:
Trouble falling asleep.
Repeatedly waking up during the night.
Feeling sleepy or tired even after getting enough sleep."
https://www.cdc.gov/sleep/about/index.html#cdc_behavioral_basics_quick-getting-enough-sleep,Sleep disorders,"Some people may have health conditions that prevent them from getting enough quality sleep, no matter how hard they try. These conditions are called sleep disorders."
https://www.cdc.gov/sleep/about/index.html#cdc_behavioral_basics_quick-getting-enough-sleep,Common sleep disorders,"Common sleep disorders include:
Insomnia.
Restless legs syndrome.
Narcolepsy.
Sleep apnea."
https://www.cdc.gov/sleep/about/index.html#cdc_behavioral_basics_quick-getting-enough-sleep,Management,"Talk to your healthcare provider if you regularly have problems sleeping or notice signs or symptoms of common sleep disorders.
Your provider can run tests, including sleep studies, to tell if you have a sleep disorder."
https://www.cdc.gov/sleep/about/index.html#cdc_behavioral_basics_quick-getting-enough-sleep,Keeping a sleep diary,"Your provider may have you keep a diary of your sleep habits to better understand what's going on.
Your sleep diary should include when you:
Go to bed.
Wake up during the night.
Wake up in the morning.
Take naps.
Exercise.
Drink alcohol or caffeinated drinks.
Take medications."
https://www.cdc.gov/sleep/about/index.html#cdc_behavioral_basics_quick-getting-enough-sleep,What CDC is doing,"CDC monitors national and state trends on not getting enough sleep among:Children.High school students.Adults.
Children.
High school students.
Adults.
CDC'sPLACEShas local estimates on adults not getting enough sleep."
https://www.cdc.gov/sleep/about/index.html#cdc_behavioral_basics_quick-getting-enough-sleep,On This Page,"Getting enough sleep
Health benefits of sleep
What to do
Sleep quality
Sleep disorders
Management
What CDC is doing
Hirshkowitz M, Whiton K, Albert SM, et al. The National Sleep Foundation's sleep time duration recommendations: methodology and results summary.Sleep Health. 2015;1(1):40–43.
Paruthi S, Brooks LJ, D'Ambrosio C, et al. Recommended amount of sleep for pediatric populations: a consensus statement of the American Academy of Sleep Medicine.J Clin Sleep Med.2016;12(6):785–786.
Watson NF, Badr MS, Belenky G, et al. Recommended amount of sleep for a healthy adult: a joint consensus statement of the American Academy of Sleep Medicine and Sleep Research Society.Sleep. 2015;38(6):843–844."
